Player,PlayerId,Season,Age,Tm,Pos,GP,G,A,PTS,PlusMinus,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,ShootingPercent,TOI,ATOI,BLK,HIT,FOW,FOL,FO_Percent
Justin Abdelkader,abdelju01,2020,32,DET,LW,47,0,3,3,-13,25,-0.9,0,0,0,0,3,0,0,40,0,548,11:39,26,101,38,31,55.1
Pontus Aberg,abergpo01,2020,26,TOR,LW,5,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,44,8:42,1,1,0,0,
Vitaly Abramov,abramvi01,2020,21,OTT,RW,2,1,0,1,0,2,0.2,1,0,0,0,0,0,0,3,33.3,12,5:47,0,0,0,0,
Noel Acciari,acciano01,2020,28,FLA,C,63,20,6,26,0,21,2.8,19,0,1,5,6,0,0,104,19.2,1004,15:56,95,115,359,388,48.1
Andrew Agozzino,agozzan01,2020,29,TOT,LW,20,0,2,2,2,4,0.1,0,0,0,0,2,0,0,8,0,139,6:58,6,22,37,35,51.4
Andrew Agozzino,agozzan01,2020,29,PIT,LW,17,0,2,2,0,4,0,0,0,0,0,2,0,0,8,0,112,6:36,5,19,30,29,50.8
Andrew Agozzino,agozzan01,2020,29,ANA,LW,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,9:04,1,3,7,6,53.8,
Sebastian Aho,ahose01,2020,22,CAR,F,64,36,26,62,10,26,8.1,26,7,3,5,18,7,1,198,18.2,1242,19:25,17,47,381,446,46.1
Karl Alzner,alzneka01,2020,31,MTL,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,45,14:56,3,1,0,0,
Michael Amadio,amadimi01,2020,23,LAK,C,64,6,10,16,-12,10,0.6,6,0,0,0,7,3,0,95,6.3,833,13:01,21,20,225,234,49
Joey Anderson,anderjo08,2020,21,NJD,RW,14,3,2,5,1,2,0.6,3,0,0,0,2,0,0,19,15.8,178,12:44,3,11,2,3,40
Josh Anderson,anderjo05,2020,25,CBJ,RW,26,1,3,4,-8,17,-0.4,1,0,0,0,3,0,0,63,1.6,418,16:04,13,68,7,12,36.8
Michael Anderson,andermi02,2020,20,LAK,D,2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,37,18:34,5,3,0,0,
Jaret Anderson-Dolan,anderja01,2020,20,LAK,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,41,10:16,0,3,5,8,38.5
Lias Andersson,anderli01,2020,21,NYR,C,17,0,1,1,-8,4,-0.5,0,0,0,0,1,0,0,13,0,162,9:33,8,20,41,47,46.6
Rasmus Andersson,anderra01,2020,23,CGY,D,67,5,16,21,-8,57,3.5,5,0,0,0,12,4,0,120,4.2,1326,19:47,75,49,0,0,
Andy Andreoff,andrean01,2020,28,PHI,LW,14,0,1,1,-3,2,-0.2,0,0,0,0,1,0,0,14,0,119,8:32,4,20,4,4,50
Anthony Angello,angelan01,2020,23,PIT,C,7,1,0,1,-1,4,0.1,1,0,0,0,0,0,0,4,25,39,5:37,4,12,0,0,
Artem Anisimov,anisiar01,2020,31,OTT,C,48,15,5,20,-14,8,1.9,10,5,0,1,4,1,0,87,17.2,678,14:08,25,5,184,185,49.9
Mason Appleton,applema01,2020,24,WPG,C,42,5,3,8,-8,20,0.2,4,0,1,0,3,0,0,53,9.4,474,11:17,12,19,4,6,40
