Player,PlayerId,Season,Age,Tm,Pos,GP,G,A,PTS,PlusMinus,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,ShootingPercent,TOI,ATOI,BLK,HIT,FOW,FOL,FO_Percent
Josh Archibald,archijo01,2020,27,EDM,RW,57,11,8,19,-8,12,1.6,9,0,2,3,7,0,1,60,18.3,757,13:17,41,156,0,2,0
Joel Armia,armiajo01,2020,26,MTL,RW,54,15,13,28,2,24,3,10,3,2,2,12,1,0,147,10.2,928,17:11,25,140,2,5,28.6
Viktor Arvidsson,arvidvi01,2020,26,NSH,LW,53,15,10,25,-4,22,2.3,11,4,0,1,8,2,0,115,13,873,16:28,22,27,11,7,61.1
Rasmus Asplund,asplura01,2020,22,BUF,F,29,1,2,3,-4,6,-0.3,1,0,0,0,1,0,1,36,2.8,314,10:50,7,20,49,65,43
Zach Aston-Reese,astonza01,2020,25,PIT,C,57,6,7,13,6,28,0.8,5,0,1,0,7,0,0,98,6.1,822,14:26,30,136,7,16,30.4
Andreas Athanasiou,athanan01,2020,25,TOT,C,50,11,15,26,-45,26,1,8,3,0,2,11,4,0,121,9.1,814,16:17,23,31,43,59,42.2
Andreas Athanasiou,athanan01,2020,25,DET,C,46,10,14,24,-45,26,0.8,7,3,0,2,10,4,0,115,8.7,761,16:32,21,28,43,59,42.2
Andreas Athanasiou,athanan01,2020,25,EDM,C,4,1,1,2,0,0,0.2,1,0,0,0,1,0,0,6,16.7,54,13:24,2,3,0,0,
Cam Atkinson,atkinca01,2020,30,CBJ,RW,44,12,14,26,2,6,2.8,9,3,0,2,9,5,0,148,8.1,785,17:51,21,18,27,30,47.4
Nicolas Aube-Kubel,aubekni01,2020,23,PHI,RW,32,6,7,13,-2,19,1.2,4,2,0,1,6,1,0,41,14.6,355,11:05,14,76,1,2,33.3
David Backes,backeda01,2020,35,TOT,C,17,1,2,3,-2,16,0.1,0,1,0,1,2,0,0,28,3.6,149,8:45,5,26,8,15,34.8
David Backes,backeda01,2020,35,BOS,C,16,1,2,3,-2,16,0.1,0,1,0,1,2,0,0,26,3.8,137,8:33,4,22,7,10,41.2
David Backes,backeda01,2020,35,ANA,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,11:44,1,4,1,5,16.7
Mikael Backlund,backlmi01,2020,30,CGY,C,67,15,27,42,4,26,4.1,9,3,3,2,21,6,0,147,10.2,1202,17:57,11,37,344,393,46.7
Nicklas Backstrom,backsni02,2020,32,WSH,C,57,11,40,51,-1,14,4.4,9,2,0,0,24,16,0,125,8.8,1093,19:10,44,28,493,502,49.5
Sven Baertschi,baertsv01,2020,27,VAN,LW,6,0,2,2,-2,4,0,0,0,0,0,0,2,0,7,0,71,11:49,0,5,0,0,
Josh Bailey,bailejo01,2020,30,NYI,C,64,13,27,40,-12,10,3.2,10,2,1,2,20,7,0,87,14.9,1093,17:05,46,20,128,127,50.2
Justin Bailey,baileju01,2020,24,VAN,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,5:20,0,4,0,0,
Rudolfs Balcers,balceru01,2020,22,OTT,LW,10,1,2,3,3,0,0.3,1,0,0,1,2,0,0,12,8.3,112,11:15,3,14,0,2,0
Ivan Barbashev,barbaiv01,2020,24,STL,C,64,10,15,25,4,19,2.3,8,0,2,2,14,0,1,70,14.3,857,13:24,31,132,135,164,45.2
Riley Barber,barberi01,2020,25,MTL,RW,9,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,6,0,74,8:15,1,15,1,0,100
Mark Barberio,barbema01,2020,29,COL,D,16,0,2,2,8,14,0.9,0,0,0,0,2,0,0,24,0,244,15:17,16,12,0,0,
Cole Bardreau,bardrco01,2020,26,NYI,F,10,1,1,2,-2,6,0.1,1,0,0,1,1,0,0,10,10,89,8:52,1,21,21,29,42
Aleksander Barkov,barkoal01,2020,24,FLA,C,63,20,42,62,3,16,6,13,7,0,2,28,13,1,167,12,1264,20:04,31,18,621,528,54
Tyson Barrie,barrity01,2020,28,TOR,D,66,5,34,39,-7,16,4.2,4,1,0,0,23,11,0,162,3.1,1438,21:47,74,43,0,0,
Mathew Barzal,barzama01,2020,22,NYI,C,64,18,38,56,6,38,5.7,14,4,0,2,31,7,0,153,11.8,1277,19:57,42,19,209,302,40.9
Drake Batherson,bathedr01,2020,21,OTT,C,23,3,7,10,-12,13,0.3,2,1,0,0,2,5,0,32,9.4,358,15:34,11,51,4,3,57.1
Jay Beagle,beaglja01,2020,34,VAN,RW,55,2,6,8,-9,38,-0.5,1,0,1,1,5,0,1,49,4.1,691,12:34,42,69,401,277,59.1
Ethan Bear,bearet01,2020,22,EDM,D,66,5,16,21,-2,33,4.1,4,1,0,1,15,1,0,93,5.4,1433,21:43,96,54,0,0,
J.C. Beaudin,beaudje01,2020,22,OTT,C,22,0,1,1,-4,7,-0.4,0,0,0,0,1,0,0,18,0,190,8:38,11,51,62,56,52.5
Nathan Beaulieu,beaulna01,2020,27,WPG,D,34,1,5,6,10,29,2,1,0,0,1,5,0,0,34,2.9,580,17:04,43,56,0,0,
Anthony Beauvillier,beauvan01,2020,22,NYI,LW,64,18,20,38,-7,10,3.7,14,3,1,3,16,4,0,124,14.5,1103,17:14,35,80,8,3,72.7
Pierre-Edouard Bellemare,bellepi01,2020,34,COL,LW,64,8,12,20,3,12,1.4,6,0,2,0,10,0,2,76,10.5,848,13:15,44,42,379,339,52.8
Kieffer Bellows,belloki01,2020,21,NYI,LW,8,2,1,3,3,2,0.5,2,0,0,1,1,0,0,11,18.2,85,10:39,4,12,0,0,
Emil Bemstrom,bemstem01,2020,20,CBJ,C,53,9,10,19,-7,6,1.7,4,5,0,4,7,3,0,89,10.1,637,12:01,17,46,4,9,30.8
Jamie Benn,bennja01,2020,30,DAL,LW,65,19,19,38,-2,48,4.2,11,8,0,4,14,5,0,151,12.6,1062,16:20,55,161,233,181,56.3
Jordie Benn,bennjo01,2020,32,VAN,D,43,1,6,7,-6,17,0.9,1,0,0,1,6,0,0,56,1.8,702,16:20,61,41,0,0,
Sam Bennett,bennesa01,2020,23,CGY,C,49,8,4,12,0,36,1.1,8,0,0,0,3,1,0,78,10.3,620,12:39,12,97,86,79,52.1
Matt Benning,bennima01,2020,25,EDM,D,39,1,7,8,8,15,2.1,1,0,0,0,7,0,0,34,2.9,519,13:19,31,73,0,0,
Tyler Benson,bensoty01,2020,21,EDM,LW,7,0,1,1,-1,0,0,0,0,0,0,1,0,0,5,0,73,10:23,1,3,1,0,100
Patrice Bergeron,bergepa01,2020,34,BOS,C,57,29,25,54,24,24,7.5,18,10,1,5,16,9,0,189,15.3,1075,18:51,40,42,716,526,57.6
Lean Bergmann,bergmle01,2020,21,SJS,F,10,0,1,1,-5,4,-0.2,0,0,0,0,1,0,0,10,0,81,8:06,4,15,0,2,0
Tyler Bertuzzi,bertuty01,2020,24,DET,LW,68,18,24,42,-25,28,3.4,15,3,0,1,14,10,0,120,15,1310,19:16,29,68,4,2,66.7
Alex Biega,biegaal01,2020,31,DET,D,46,0,3,3,-9,22,0.9,0,0,0,0,3,0,0,52,0,749,16:17,44,107,0,0,
Jake Bischoff,bischja01,2020,25,VEG,D,4,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,6,0,62,15:36,8,8,0,0,
Clark Bishop,bishocl01,2020,23,CAR,C,5,0,1,1,-2,4,0,0,0,0,0,1,0,0,4,0,38,7:39,0,5,13,21,38.2
Anthony Bitetto,bitetan01,2020,29,WPG,D,51,0,8,8,3,32,1.7,0,0,0,0,7,0,1,54,0,773,15:10,50,145,0,0,
Anders Bjork,bjorkan01,2020,23,BOS,LW,57,9,10,19,5,10,1.8,8,1,0,0,10,0,0,66,13.6,739,12:58,21,43,2,3,40
Oliver Bjorkstrand,bjorkol01,2020,24,CBJ,RW,49,21,15,36,8,12,4.9,18,3,0,5,12,3,0,162,13,879,17:56,16,43,6,13,31.6
Tobias Bjornfot,bjornto01,2020,18,LAK,D,3,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,0,39,12:58,0,0,0,0,,
Nick Bjugstad,bjugsni01,2020,27,PIT,C,10,1,0,1,2,8,0.1,1,0,0,0,0,0,0,16,6.3,132,13:14,6,19,34,50,40.5
Colin Blackwell,blackco01,2020,26,NSH,C,27,3,7,10,7,10,1,3,0,0,0,7,0,0,31,9.7,296,10:57,23,43,37,29,56.1
Sammy Blais,blaissa01,2020,23,STL,LW,35,6,5,11,-3,18,0.9,6,0,0,1,5,0,0,47,12.8,437,12:30,12,135,0,0,
Joseph Blandisi,blandjo01,2020,25,PIT,C,21,2,3,5,-3,10,0.3,2,0,0,1,3,0,0,12,16.7,172,8:13,9,26,33,48,40.7
Joachim Blichfeld,blichjo01,2020,21,SJS,W,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0,38,12:46,4,3,0,0,
Anton Blidh,blidhan01,2020,24,BOS,LW,7,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,9,0,81,11:31,5,20,0,1,0
Teddy Blueger,bluegte01,2020,25,PIT,C,64,9,13,22,5,21,1.6,9,0,0,2,11,0,2,100,9,1023,15:59,33,82,378,465,44.8
Mikkel Boedker,boedkmi01,2020,30,OTT,RW,15,1,2,3,0,0,0.2,1,0,0,0,2,0,0,20,5,128,8:33,5,11,0,1,0
Brock Boeser,boesebr01,2020,22,VAN,RW,56,16,29,45,5,14,4.4,11,5,0,3,20,9,0,166,9.6,1041,18:36,13,27,11,19,36.7
Zach Bogosian,bogosza01,2020,29,TOT,D,22,1,5,6,-2,20,0.9,1,0,0,0,4,0,1,23,4.3,364,16:33,22,25,0,0,
Zach Bogosian,bogosza01,2020,29,BUF,D,19,1,4,5,0,10,0.9,1,0,0,0,4,0,0,18,5.6,320,16:50,21,22,0,0,
Zach Bogosian,bogosza01,2020,29,TBL,D,3,0,1,1,-2,10,0,0,0,0,0,0,0,1,5,0,45,14:51,1,3,0,0,
Nick Bonino,boninni01,2020,31,NSH,C,63,18,17,35,17,16,4.1,17,1,0,3,17,0,0,100,18,1043,16:33,78,17,456,413,52.5
Adam Boqvist,boqviad01,2020,19,CHI,D,38,4,5,9,-8,6,1.2,4,0,0,1,3,2,0,47,8.5,620,16:18,39,30,0,0,
Jesper Boqvist,boqvije01,2020,21,NJD,C,34,4,0,4,-10,8,-0.1,3,1,0,0,0,0,0,41,9.8,369,10:51,15,36,5,10,33.3
Henrik Borgström,borgshe01,2020,22,FLA,C,4,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,3,0,50,12:23,0,1,13,14,48.1
Mark Borowiecki,borowma01,2020,30,OTT,D,53,7,11,18,1,58,3.4,6,0,1,0,11,0,0,63,11.1,951,17:56,120,199,0,0,
Robert Bortuzzo,borturo01,2020,30,STL,D,38,1,4,5,12,19,1.9,1,0,0,0,4,0,0,33,3,500,13:10,40,53,0,0,
Gabriel Bourque,bourqga01,2020,29,WPG,LW,51,2,4,6,-1,7,0,2,0,0,0,4,0,0,33,6.1,442,8:40,40,123,2,3,40
Jay Bouwmeester,bouwmja01,2020,36,STL,D,56,1,8,9,6,20,2.3,1,0,0,0,7,0,1,53,1.9,1208,21:34,68,42,0,0,
Madison Bowey,boweyma01,2020,24,DET,D,50,3,13,16,-16,32,2.2,3,0,0,0,12,1,0,68,4.4,902,18:03,57,48,0,0,
Johnny Boychuk,boychjo01,2020,36,NYI,D,63,2,9,11,-9,14,1.9,1,1,0,0,9,0,0,94,2.1,1094,17:22,127,130,0,0,
Travis Boyd,boydtr01,2020,26,WSH,C,24,3,7,10,9,2,1.2,3,0,0,0,6,1,0,26,11.5,282,11:45,9,14,50,69,42
Brian Boyle,boylebr01,2020,35,FLA,C,39,6,9,15,-5,17,1,5,1,0,1,9,0,0,56,10.7,483,12:23,34,65,197,179,52.4
Tyler Bozak,bozakty01,2020,33,STL,C,63,13,15,28,1,10,2.6,10,2,1,2,14,1,0,103,12.6,970,15:23,32,30,346,279,55.4
Erik Brannstrom,branner01,2020,20,OTT,D,31,0,4,4,-9,16,0.1,0,0,0,0,3,1,0,38,0,460,14:51,36,15,0,0,
Derick Brassard,brassde01,2020,32,NYI,C,62,10,19,29,1,16,2.6,7,3,0,1,13,6,0,109,9.2,854,13:46,23,103,193,155,55.5
Jesper Bratt,brattje01,2020,21,NJD,W,56,15,16,31,-4,6,3.3,14,1,0,2,11,5,0,96,15.6,784,14:00,19,25,2,8,20
Justin Braun,braunju01,2020,32,PHI,D,58,3,16,19,0,14,3,3,0,0,0,15,1,0,65,4.6,1004,17:19,79,89,0,0,
T.J. Brodie,broditj01,2020,29,CGY,D,61,2,15,17,8,36,3.9,2,0,0,0,14,1,0,61,3.3,1244,20:23,80,20,0,0,
Jonas Brodin,brodijo01,2020,26,MIN,D,65,2,25,27,16,18,5.2,2,0,0,0,22,1,2,96,2.1,1397,21:29,106,38,0,0,
Jonny Brodzinski,brodzjo01,2020,26,SJS,C,3,0,1,1,0,0,0.1,0,0,0,0,1,0,0,5,0,22,7:24,0,3,0,1,0
Adam Brooks,brookad01,2020,23,TOR,C,7,0,3,3,1,0,0.2,0,0,0,0,3,0,0,2,0,55,7:51,1,0,5,5,50
Troy Brouwer,brouwtr01,2020,34,STL,RW,13,1,0,1,1,7,0,1,0,0,0,0,0,0,12,8.3,123,9:28,6,24,1,1,50
Connor Brown,brownco02,2020,26,OTT,RW,66,14,26,40,-3,24,3.2,11,3,0,1,23,1,2,158,8.9,1333,20:12,35,34,24,31,43.6
Dustin Brown,browndu01,2020,35,LAK,RW,62,14,17,31,-5,22,2.7,13,1,0,0,13,4,0,153,9.2,1136,18:19,15,131,7,9,43.8
Josh Brown,brownjo01,2020,26,FLA,D,55,3,5,8,1,39,1.5,3,0,0,1,5,0,0,45,6.7,738,13:25,53,74,0,0,
Logan Brown,brownlo01,2020,21,OTT,C,23,1,7,8,0,4,0.5,0,1,0,1,5,2,0,23,4.3,270,11:45,11,13,55,79,41
Patrick Brown,brownpa02,2020,27,VEG,C,1,1,0,1,0,0,0.2,1,0,0,0,0,0,0,2,50,10,10:04,0,6,0,0,
Pavel Buchnevich,buchnpa01,2020,24,NYR,LW,63,15,24,39,-2,22,3.4,11,4,0,1,20,4,0,133,11.3,1052,16:42,22,79,4,18,18.2
Connor Bunnaman,bunnaco01,2020,21,PHI,F,21,1,1,2,7,2,0.2,1,0,0,0,1,0,0,18,5.6,195,9:17,2,29,36,60,37.5
Andre Burakovsky,burakan01,2020,24,COL,LW,58,20,25,45,11,22,5.4,18,2,0,6,16,9,0,103,19.4,882,15:12,34,26,5,9,35.7
Brent Burns,burnsbr01,2020,34,SJS,D,65,12,31,43,-20,32,6.4,7,5,0,1,20,10,1,209,5.7,1637,25:11:00,107,65,0,0,
Will Butcher,butchwi01,2020,25,NJD,D,56,4,17,21,-8,6,3.2,4,0,0,1,16,1,0,62,6.5,1003,17:55,75,31,0,0,
Paul Byron,byronpa01,2020,30,MTL,C,25,3,6,9,6,4,0.9,3,0,0,0,6,0,0,20,15,350,14:00,16,40,0,4,0
Nicholas Caamano,caamani01,2020,21,DAL,RW,12,1,1,2,2,4,0.2,1,0,0,0,1,0,0,13,7.7,120,9:58,3,17,1,1,50
Drake Caggiula,caggidr01,2020,25,CHI,LW,36,8,6,14,-6,25,1.3,7,1,0,0,5,0,1,50,16,428,11:54,16,71,4,10,28.6
Matt Calvert,calvema01,2020,30,COL,LW,50,12,13,25,13,39,2.9,9,0,3,1,12,0,1,89,13.5,705,14:05,22,58,12,14,46.2
Kyle Capobianco,capobky01,2020,22,ARI,D,9,1,0,1,-1,2,0.3,1,0,0,0,0,0,0,10,10,133,14:46,10,14,0,0,
Paul Carey,careypa01,2020,31,BOS,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,6,6:22,1,0,0,0,,
Brandon Carlo,carlobr01,2020,23,BOS,D,65,4,15,19,16,31,4.6,4,0,0,0,15,0,0,108,3.7,1344,20:41,73,124,0,0,
John Carlson,carlsjo01,2020,30,WSH,D,65,15,58,73,15,24,10.9,13,2,0,6,34,24,0,180,8.3,1604,24:41:00,102,51,0,1,0
Gabriel Carlsson,carlsga01,2020,23,CBJ,D,6,0,0,0,-1,2,0,0,0,0,0,0,0,0,3,0,65,10:53,0,5,0,0,
Lucas Carlsson,carlslu01,2020,22,CHI,D,3,0,0,0,1,0,0.1,0,0,0,0,0,0,0,1,0,38,12:42,1,6,0,0,
Ryan Carpenter,carpery01,2020,29,CHI,C,64,3,12,15,-6,24,0,2,0,1,0,10,0,2,73,4.1,914,14:17,46,107,258,341,43.1
Daniel Carr,carrda01,2020,28,NSH,LW,11,1,0,1,-5,4,-0.2,1,0,0,0,0,0,0,14,7.1,114,10:20,2,10,0,1,0
Connor Carrick,carrico01,2020,25,NJD,D,25,0,5,5,-4,15,0.6,0,0,0,0,5,0,0,17,0,358,14:18,35,22,0,0,
Sam Carrick,carrisa01,2020,27,ANA,C,9,1,1,2,-3,0,0,0,0,1,0,1,0,0,16,6.3,124,13:46,8,13,33,39,45.8
Trevor Carrick,carritr01,2020,25,SJS,D,3,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,17,5:47,0,1,0,0,
Alexandre Carrier,carrial01,2020,23,NSH,D,3,0,0,0,2,2,0.2,0,0,0,0,0,0,0,4,0,32,10:47,0,3,0,0,
William Carrier,carriwi01,2020,25,VEG,LW,67,7,11,18,0,39,1.4,7,0,0,1,11,0,0,96,7.3,657,9:48,11,205,8,4,66.7
Jeff Carter,carteje01,2020,35,LAK,C,60,17,10,27,-21,36,2.2,14,3,0,7,8,2,0,182,9.3,1016,16:56,23,66,382,364,51.2
Colby Cave,caveco01,2020,25,EDM,C,11,1,0,1,-3,4,-0.1,1,0,0,0,0,0,0,5,20,106,9:39,3,17,36,41,46.8
Cody Ceci,cecico01,2020,26,TOR,D,54,1,7,8,8,20,1.7,1,0,0,1,7,0,0,47,2.1,1115,20:38,75,88,0,0,
Peter Cehlarik,cehlape01,2020,24,BOS,LW,3,0,1,1,-1,2,0,0,0,0,0,1,0,0,0,34,11:16,2,2,1,1,50,
Erik Cernak,cernaer01,2020,22,TBL,D,62,5,6,11,8,45,2.8,5,0,0,1,6,0,0,118,4.2,1174,18:56,89,159,0,0,
Thomas Chabot,chaboth01,2020,23,OTT,D,66,6,30,36,-19,38,4.2,6,0,0,0,19,11,0,171,3.5,1719,26:03:00,82,75,0,0,
Michael Chaput,chapumi01,2020,27,ARI,C,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,2,0,20,10:01,2,3,7,6,53.8
Zdeno Chara,charazd01,2020,42,BOS,D,64,5,8,13,24,55,4.7,5,0,0,2,8,0,0,82,6.1,1343,20:59,91,72,0,0,
Ben Chiarot,chiarbe01,2020,28,MTL,D,65,9,11,20,10,43,5,9,0,0,3,11,0,0,127,7.1,1511,23:15,125,140,0,0,
Alex Chiasson,chiasal01,2020,29,EDM,RW,60,8,12,20,-5,40,1.5,3,5,0,2,5,7,0,92,8.7,790,13:10,14,52,0,4,0
Andrei Chibisov,chibian01,2020,26,WPG,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,7:27,1,1,0,0,
Filip Chlapik,chlapfi01,2020,22,OTT,C,31,3,3,6,-7,10,0.2,3,0,0,1,3,0,0,27,11.1,272,8:46,11,71,12,19,38.7
Dennis Cholowski,cholode01,2020,21,DET,D,36,2,6,8,-26,6,0.2,1,1,0,1,2,4,0,51,3.9,692,19:13,35,15,0,0,
Jakob Chychrun,chychja01,2020,21,ARI,D,63,12,14,26,4,38,6,7,5,0,2,11,3,0,149,8.1,1413,22:26,95,75,0,0,
Filip Chytil,chytifi01,2020,20,NYR,C,56,13,9,22,-3,10,1.8,12,1,0,2,7,2,0,110,11.8,842,15:03,29,12,178,300,37.2
Anthony Cirelli,cirelan01,2020,22,TBL,C,63,15,27,42,26,26,4.5,14,1,0,3,22,4,1,108,13.9,1164,18:29,42,80,409,442,48.1
Casey Cizikas,cizikca01,2020,28,NYI,C,48,10,4,14,12,41,1.8,7,0,3,1,2,0,2,67,14.9,686,14:18,39,133,368,320,53.5
Fredrik Claesson,claesfr01,2020,27,NJD,D,3,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,46,15:12,3,1,0,0,,
Kale Clague,claguka01,2020,21,LAK,D,4,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,2,0,58,14:34,4,1,0,0,
Kyle Clifford,cliffky01,2020,29,TOT,LW,65,7,10,17,-6,63,1.1,7,0,0,0,10,0,0,105,6.7,735,11:18,14,120,6,3,66.7
Kyle Clifford,cliffky01,2020,29,LAK,LW,53,6,8,14,-6,45,0.9,6,0,0,0,8,0,0,89,6.7,619,11:41,12,90,6,3,66.7
Kyle Clifford,cliffky01,2020,29,TOR,LW,12,1,2,3,0,18,0.2,1,0,0,0,2,0,0,16,6.3,116,9:38,2,30,0,0,
Connor Clifton,cliftco01,2020,24,BOS,D,30,2,0,2,4,12,1.1,2,0,0,0,0,0,0,20,10,434,14:29,32,85,0,0,
Cal Clutterbuck,cluttca01,2020,32,NYI,RW,34,3,4,7,7,22,0.5,2,0,1,0,3,0,1,34,8.8,471,13:50,36,116,4,5,44.4
Braydon Coburn,coburbr01,2020,34,TBL,D,36,1,2,3,2,14,0.8,1,0,0,0,2,0,0,36,2.8,495,13:45,25,54,0,0,
Andrew Cogliano,coglian01,2020,32,DAL,LW,64,2,11,13,1,28,0.4,2,0,0,0,11,0,0,65,3.1,803,12:33,29,79,17,19,47.2
Ian Cole,coleia01,2020,30,COL,D,60,4,21,25,25,32,5.2,4,0,0,1,21,0,0,83,4.8,1067,17:47,116,78,0,0,
Blake Coleman,colembl01,2020,28,TOT,C,61,21,11,32,-2,44,3.7,17,1,3,2,8,2,1,191,11,1036,16:59,45,178,46,99,31.7
Blake Coleman,colembl01,2020,28,NJD,C,57,21,10,31,-2,40,3.7,17,1,3,2,7,2,1,182,11.5,971,17:02,40,166,46,98,31.9
Blake Coleman,colembl01,2020,28,TBL,C,4,0,1,1,0,4,0,0,0,0,0,1,0,0,9,0,65,16:18,5,12,0,1,0
Blake Comeau,comeabl01,2020,33,DAL,RW,51,8,8,16,-5,32,1.1,7,0,1,2,7,0,1,68,11.8,765,15:01,24,100,41,51,44.6
J.T. Compher,comphj.01,2020,24,COL,LW,62,10,18,28,13,18,2.5,9,1,0,2,12,3,3,96,10.4,1014,16:21,54,34,315,336,48.4
Max Comtois,comtoma01,2020,21,ANA,LW,29,5,6,11,-4,24,0.9,3,2,0,0,5,1,0,32,15.6,405,13:58,8,61,3,13,18.8
Cory Conacher,conacco01,2020,30,TBL,LW,4,0,1,1,-2,4,-0.1,0,0,0,0,1,0,0,5,0,44,11:05,1,3,0,0,
Kevin Connauton,connake01,2020,29,COL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,17:14,1,3,0,0,
Brett Connolly,connobr01,2020,27,FLA,RW,66,18,13,31,-4,26,3,14,4,0,2,11,2,0,112,16.1,965,14:37,16,55,6,11,35.3
Kyle Connor,connoky01,2020,23,WPG,LW,67,33,34,67,1,32,7.6,24,8,1,6,26,8,0,225,14.7,1410,21:03,17,18,2,11,15.4
Andrew Copp,coppan01,2020,25,WPG,C,59,10,14,24,-4,10,1.5,9,1,0,5,12,0,2,116,8.6,1049,17:46,27,57,297,258,53.5
Nick Cousins,cousini01,2020,26,TOT,C,61,10,14,24,1,33,2.2,7,3,0,0,12,2,0,108,9.3,822,13:28,30,86,28,29,49.1
Nick Cousins,cousini01,2020,26,MTL,C,58,9,13,22,1,33,1.9,7,2,0,0,11,2,0,105,8.6,781,13:28,28,77,14,23,37.8
Nick Cousins,cousini01,2020,26,VEG,C,3,1,1,2,0,0,0.2,0,1,0,0,1,0,0,3,33.3,41,13:39,2,9,14,6,70
Logan Couture,coutulo01,2020,30,SJS,C,48,16,22,38,3,18,4.2,16,0,0,3,12,8,2,117,13.7,899,18:43,38,51,174,233,42.8
Sean Couturier,coutuse01,2020,27,PHI,C,65,21,37,58,20,30,6.5,17,4,0,4,28,9,0,174,12.1,1288,19:49,26,55,506,348,59.3
Charlie Coyle,coylech01,2020,27,BOS,C,66,16,19,35,9,19,3.7,13,1,2,3,15,4,0,137,11.7,1095,16:36,34,80,306,349,46.7
Sidney Crosby,crosbsi01,2020,32,PIT,C,36,13,28,41,-9,13,3.9,9,4,0,3,17,11,0,94,13.8,731,20:19,16,28,426,349,55
