Player,PlayerId,Season,Age,Tm,GP,GS,W,L,OT_SO_L,GA,SA,SV,SavePercent,GAA,SO,GPS,MIN,QualityStarts,QualityStartPercent,BadStarts,GoalSavedAboveAvg
Jake Allen,allenja01,2020,29,STL,22,19,10,6,3,47,599,552,0.922,2.31,1,4.2,1220,12,0.632,2,7.4
Frederik Andersen,anderfr01,2020,30,TOR,50,50,28,13,6,142,1514,1372,0.906,2.96,2,8.1,2882,25,0.5,8,-4.51
Craig Anderson,andercr01,2020,38,OTT,30,27,9,15,2,86,872,786,0.901,3.21,0,4.2,1607,11,0.407,6,-6.81
David Ayres,ayresda01,2020,42,CAR,1,0,1,0,0,2,10,8,0.8,4.18,0,-0.1,29,0,,0,
Jonathan Bernier,bernijo01,2020,31,DET,43,38,13,21,3,116,1247,1131,0.907,2.92,1,6.7,2382,16,0.421,5,-2.76
Antoine Bibeau,bibeaan01,2020,25,COL,2,1,1,0,0,5,42,37,0.881,3.27,0,0.1,92,0,0,0,
Jordan Binnington,binnijo01,2020,26,STL,47,47,29,11,7,120,1339,1219,0.91,2.6,3,7.7,2771,26,0.553,5,1.6
Ben Bishop,bishobe01,2020,33,DAL,42,41,21,14,4,98,1236,1138,0.921,2.49,2,8.5,2358,26,0.634,5,14.24
MacKenzie Blackwood,blackma01,2020,23,NJD,44,40,21,12,8,113,1353,1240,0.916,2.71,3,8.7,2505,22,0.55,6,9.87
Sergei Bobrovsky,bobrose01,2020,31,FLA,50,48,23,19,6,151,1505,1354,0.9,3.23,1,7,2806,20,0.417,10,-14.33
Laurent Brossoit,brossla01,2020,26,WPG,19,15,6,7,1,54,512,458,0.895,3.28,0,2.1,988,7,0.467,1,-7.5
Jack Campbell,campbja01,2020,28,TOT,24,24,11,10,3,67,696,629,0.904,2.77,0,3.5,1452,10,0.417,4,-3.79
Jack Campbell,campbja01,2020,28,LAK,20,20,8,10,2,57,572,515,0.9,2.85,0,2.7,1202,7,0.35,4,-5.06
Jack Campbell,campbja01,2020,28,TOR,4,4,3,0,1,10,124,114,0.919,2.4,0,0.8,250,3,0.75,0,
Eric Comrie,comrier01,2020,24,DET,3,2,0,2,0,9,66,57,0.864,4.28,0,0.1,126,0,0,1,
Corey Crawford,crawfco01,2020,35,CHI,35,34,13,18,3,97,1144,1047,0.915,2.84,1,7.2,2047,21,0.618,3,6.89
Oscar Dansk,danskos01,2020,25,VEG,1,1,0,1,0,6,37,31,0.838,6,0,-0.1,60,0,0,1,
Aaron Dell,dellaa01,2020,30,SJS,31,28,12,14,2,84,903,819,0.907,2.94,0,4.9,1714,14,0.5,5,-2
Thatcher Demko,demkoth01,2020,24,VAN,23,21,11,8,2,66,680,614,0.903,3.08,0,3.4,1288,13,0.619,5,-4.25
Michael Dipietro,dipiemi01,2020,20,VAN,1,0,0,0,0,1,7,6,0.857,7.16,0,0,8,0,,0,
Louis Domingue,dominlo01,2020,27,TOT,17,15,3,9,2,51,433,382,0.882,3.81,0,1.2,803,4,0.267,5,-11.68
Louis Domingue,dominlo01,2020,27,NJD,16,14,3,8,2,47,399,352,0.882,3.79,0,1.1,744,4,0.286,5,-10.77
Louis Domingue,dominlo01,2020,27,VAN,1,1,0,1,0,4,34,30,0.882,4.08,0,0.1,59,0,0,0,
Chris Driedger,driedch01,2020,25,FLA,9,8,5,2,0,18,265,247,0.932,2.35,1,2.1,459,5,0.625,0,
Devan Dubnyk,dubnyde01,2020,33,MIN,29,27,11,15,2,89,823,734,0.892,3.34,1,3.1,1601,9,0.333,4,-14.26
Brian Elliott,elliobr01,2020,34,PHI,30,26,15,7,4,78,769,691,0.899,2.9,2,3.5,1614,13,0.5,8,-8.17
Marc-Andre Fleury,fleurma01,2020,35,VEG,47,46,26,15,5,127,1351,1224,0.906,2.76,5,7.2,2758,23,0.5,8,-4.31
Anton Forsberg,forsban01,2020,27,CAR,2,2,0,1,0,6,52,46,0.885,4.41,0,0.2,82,0,0,0,
Pavel Francouz,francpa01,2020,29,COL,29,25,19,5,3,60,850,790,0.929,2.24,1,6.6,1608,15,0.6,4,17.19
Alexandar Georgiev,georgal01,2020,23,NYR,31,29,16,13,1,86,980,894,0.912,3.02,2,5.8,1711,17,0.586,5,3
John Gibson,gibsojo02,2020,26,ANA,49,49,19,25,5,144,1502,1358,0.904,2.99,1,7.7,2891,21,0.429,9,-7.6
Thomas Greiss,greisth01,2020,34,NYI,29,26,16,8,3,67,798,731,0.916,2.65,0,5.1,1514,15,0.577,4,5.47
Philipp Grubauer,grubaph01,2020,28,COL,36,36,18,12,4,90,1067,977,0.916,2.63,2,6.8,2057,17,0.472,4,6.9
Jaroslav Halak,halakja01,2020,34,BOS,30,28,17,6,6,72,872,800,0.917,2.44,3,5.7,1770,17,0.607,3,7.19
Carter Hart,hartca01,2020,21,PHI,40,37,22,12,3,91,1003,912,0.909,2.51,1,5.7,2179,22,0.595,9,0.08
Connor Hellebuyck,helleco01,2020,26,WPG,54,52,27,21,5,135,1665,1530,0.919,2.67,5,11.1,3029,32,0.615,6,16.2
Adin Hill,hillad01,2020,23,ARI,13,9,2,4,3,28,343,315,0.918,2.62,0,2.3,641,5,0.556,0,3.15
Marcus Hogberg,hogbema01,2020,25,OTT,23,20,5,7,8,65,713,648,0.909,3.04,0,4,1285,10,0.5,2,-0.25
Braden Holtby,holtbbr01,2020,30,WSH,45,44,24,13,5,133,1302,1169,0.898,3.12,0,5.8,2558,20,0.455,10,-14.76
Jimmy Howard,howarja02,2020,35,DET,27,27,2,23,2,96,817,721,0.882,4.2,0,2.3,1372,7,0.259,9,-21.81
