Player,PlayerId,Season,Age,Tm,GP,GS,W,L,OT_SO_L,GA,SA,SV,SavePercent,GAA,SO,GPS,MIN,QualityStarts,QualityStartPercent,BadStarts,GoalSavedAboveAvg
Michael Hutchinson,hutchmi01,2020,29,TOT,16,12,5,9,1,49,439,390,0.888,3.47,1,1.5,847,4,0.333,0,-9.13
Michael Hutchinson,hutchmi01,2020,29,TOR,15,11,4,9,1,48,421,373,0.886,3.66,1,1.3,787,3,0.273,0,-9.77
Michael Hutchinson,hutchmi01,2020,29,COL,1,1,1,0,0,1,18,17,0.944,1,0,0.2,60,1,1,0,
Carter Hutton,huttoca01,2020,34,BUF,29,28,12,12,4,88,859,771,0.898,3.18,2,3.8,1660,13,0.464,7,-9.99
Tristan Jarry,jarrytr01,2020,24,PIT,32,30,20,11,1,72,949,877,0.924,2.31,3,6.9,1866,19,0.633,2,14.18
Jonas Johansson,johanjo03,2020,24,BUF,5,4,1,2,1,12,119,107,0.899,2.68,0,0.5,269,1,0.25,0,
Martin Jones,jonesma02,2020,30,SJS,38,36,16,19,2,109,1061,952,0.897,2.99,2,4.6,2184,14,0.389,10,-12.65
Kaapo Kahkonen,kahkoka01,2020,23,MIN,5,5,3,1,1,15,172,157,0.913,2.96,0,1,304,3,0.6,2,
Kasimir Kaskisuo,kaskika01,2020,26,TOR,1,1,0,1,0,6,38,32,0.842,6,0,-0.1,60,0,0,1,
Anton Khudobin,khudoan01,2020,33,DAL,28,24,16,7,3,58,823,765,0.93,2.23,0,6.4,1560,17,0.708,2,16.74
Keith Kinkaid,kinkake01,2020,30,MTL,6,5,1,1,3,24,192,168,0.875,4.24,0,0.4,340,0,0,0,
Matiss Kivlenieks,kivlema01,2020,23,CBJ,6,4,1,1,2,14,137,123,0.898,2.95,0,0.6,285,2,0.5,0,
Joonas Korpisalo,korpijo01,2020,25,CBJ,35,33,19,11,4,86,970,884,0.911,2.58,2,5.7,2002,20,0.606,5,2.09
Mikko Koskinen,koskimi01,2020,31,EDM,34,30,16,13,2,92,1028,936,0.911,2.89,1,5.9,1908,14,0.467,5,1.35
Darcy Kuemper,kuempda01,2020,29,ARI,26,26,15,9,2,57,798,741,0.929,2.17,2,6.2,1576,20,0.769,2,15.47
Robin Lehner,lehnero01,2020,28,TOT,34,32,17,10,5,96,1186,1090,0.919,2.98,0,7.9,1935,18,0.563,4,11.7
Robin Lehner,lehnero01,2020,28,CHI,33,31,16,10,5,94,1152,1058,0.918,3.01,0,7.6,1875,17,0.548,4,10.62
Robin Lehner,lehnero01,2020,28,VEG,1,1,1,0,0,2,34,32,0.941,2,0,0.3,60,1,1,0,
Charlie Lindgren,lindgch01,2020,26,MTL,5,5,2,3,0,17,147,130,0.884,3.37,0,0.4,302,1,0.2,1,
Henrik Lundqvist,lundqhe01,2020,37,NYR,29,26,10,12,3,84,878,794,0.904,3.19,1,4.5,1579,13,0.5,4,-4.27
Alex Lyon,lyonal01,2020,27,PHI,3,2,1,1,0,8,73,65,0.89,3.55,0,0.3,135,0,0,0,
Jacob Markstrom,marksja02,2020,30,VAN,43,43,23,16,4,117,1420,1303,0.918,2.75,2,9.3,2552,25,0.581,5,11.95
Curtis McElhinney,mcelhcu01,2020,36,TBL,17,17,8,7,2,48,523,475,0.908,2.83,1,2.9,1016,8,0.471,2,-0.51
Elvis Merzlikins,merzlel01,2020,25,CBJ,32,30,12,9,8,70,892,822,0.922,2.39,5,6.2,1755,16,0.533,3,11
Ryan Miller,millery01,2020,39,ANA,18,16,7,6,3,52,557,505,0.907,3.06,0,3,1020,9,0.563,1,-1.42
Sam Montembeault,montesa01,2020,23,FLA,14,9,5,5,1,39,356,317,0.89,3.34,0,1.3,701,3,0.333,2,-6.67
Petr Mrazek,mrazepe01,2020,27,CAR,39,37,20,16,2,102,1066,964,0.904,2.71,3,5.5,2261,18,0.486,7,-5.19
Matt Murray,murrama02,2020,25,PIT,34,34,17,10,5,95,949,854,0.9,2.85,1,4.4,2001,15,0.441,7,-8.82
Alex Nedeljkovic,nedelal01,2020,24,CAR,2,1,0,1,1,5,35,30,0.857,3.11,0,0,96,0,0,1,
Anders Nilsson,nilssan01,2020,29,OTT,20,19,9,9,2,58,628,570,0.908,3.18,0,3.4,1093,11,0.579,5,-0.97
Calvin Petersen,peterca01,2020,25,LAK,6,6,3,3,0,16,215,199,0.926,2.68,0,1.6,358,4,0.667,0,
Calvin Pickard,pickaca01,2020,27,DET,3,1,0,2,0,15,74,59,0.797,5.46,0,-0.5,165,0,0,1,
Carey Price,priceca01,2020,32,MTL,55,55,26,23,6,150,1674,1524,0.91,2.76,4,9.7,3262,31,0.564,10,2.02
Cayden Primeau,primeca01,2020,20,MTL,2,2,1,1,0,5,72,67,0.931,2.52,0,0.6,119,2,1,0,
Jonathan Quick,quickjo01,2020,34,LAK,40,40,14,22,4,116,1166,1050,0.901,2.91,0,5.5,2391,19,0.475,5,-10.11
Antti Raanta,raantan01,2020,30,ARI,33,32,15,14,3,80,1014,934,0.921,2.63,2,7,1823,19,0.594,3,12.08
Tuukka Rask,rasktu01,2020,32,BOS,38,38,24,7,6,80,1108,1028,0.928,2.16,4,8.4,2223,26,0.684,2,20.62
James Reimer,reimeja01,2020,31,CAR,25,24,14,6,2,61,712,651,0.914,2.66,3,4.4,1378,15,0.625,6,3.66
Pekka Rinne,rinnepe01,2020,37,NSH,36,35,18,14,4,105,1004,899,0.895,3.17,3,4.2,1988,16,0.457,11,-13.82
David Rittich,rittida01,2020,27,CGY,47,47,24,16,6,134,1447,1313,0.907,2.94,2,7.9,2732,24,0.511,7,-2.6
Ilya Samsonov,samsoil01,2020,22,WSH,25,21,16,6,1,54,650,596,0.917,2.4,1,4.2,1352,13,0.619,1,5.03
Juuse Saros,sarosju01,2020,24,NSH,36,30,14,11,4,93,1005,912,0.907,2.88,2,5.5,1939,18,0.6,3,-1.73
Cory Schneider,schneco01,2020,33,NJD,12,10,2,6,2,38,322,284,0.882,3.68,1,0.9,619,2,0.2,3,-8.76
Gilles Senn,senngi01,2020,23,NJD,2,1,0,1,0,4,41,37,0.902,3.42,0,0.2,70,1,1,0,
Igor Shesterkin,shestig01,2020,24,NYR,10,10,9,1,0,22,368,346,0.94,2.23,0,3.3,592,8,0.8,0,11.42
Mike Smith,smithmi01,2020,37,EDM,37,35,19,10,6,99,1042,943,0.905,2.88,1,5.4,2066,17,0.486,8,-4.37
Garret Sparks,sparkga01,2020,26,VEG,1,0,0,0,0,2,14,12,0.857,4.38,0,0,27,0,,0,
Alex Stalock,staloal01,2020,32,MIN,35,33,18,10,4,88,968,880,0.909,2.64,4,5.5,1998,17,0.515,4,-0.09
Malcolm Subban,subbama01,2020,26,VEG,20,19,9,7,3,60,546,486,0.89,3.18,0,2,1133,7,0.368,7,-10.42
Cam Talbot,talboca01,2020,32,CGY,24,20,10,10,1,59,724,665,0.919,2.7,2,4.8,1311,10,0.5,2,6.75
Linus Ullmark,ullmali01,2020,26,BUF,33,33,16,14,3,89,1031,942,0.914,2.72,1,6.3,1962,18,0.545,2,4.63
Semyon Varlamov,varlasi01,2020,31,NYI,42,37,19,13,5,100,1201,1101,0.917,2.55,2,7.7,2355,21,0.568,4,9.07
Andrei Vasilevskiy,vasilan02,2020,25,TBL,48,48,33,12,3,126,1464,1338,0.914,2.62,2,9,2884,27,0.563,7,6.95
Adam Werner,wernead01,2020,22,COL,2,1,1,1,0,5,58,53,0.914,3.42,0,0.4,88,0,0,1,
