Team,Tm,Season,AvAge,GP,W,L,OL,PTS,GF,GA,SOW,SOL,SRS,SOS,GoalsPerGame,EVGF,EVGA,PP,PPO,PPRate,PPA,PPOA,PKRate,SH,SHA,PIMperGame,OpposingPIMperGame,S,ShootingPercent,SA,SavePercentage,SO
Carolina Hurricanes,CAR,2018,27,82,36,35,11,83,225,253,3,3,-0.35,-0.01,5.83,178,204,44,239,18.41,43,191,77.49,3,6,6.2,7.1,2780,8.1,2367,0.893,2
New York Islanders,NYI,2018,28.4,82,35,37,10,80,261,293,3,3,-0.4,-0.01,6.76,198,219,58,250,23.2,63,235,73.19,5,11,7.8,8.1,2572,10.1,2918,0.9,2
Edmonton Oilers,EDM,2018,26.8,82,36,40,6,78,229,262,5,1,-0.32,0.03,5.99,187,200,31,210,14.76,57,245,76.73,11,5,9.2,7.6,2740,8.4,2634,0.901,1
New York Rangers,NYR,2018,28.7,82,34,39,9,77,228,263,3,5,-0.46,-0.01,5.99,172,212,51,241,21.16,46,247,81.38,5,5,8,8,2538,9,2898,0.909,3
Chicago Blackhawks,CHI,2018,28,82,33,39,10,76,228,254,1,2,-0.26,0.07,5.88,180,198,43,269,15.99,49,236,79.24,5,7,7.5,8.9,2793,8.2,2697,0.906,2
Vancouver Canucks,VAN,2018,28.2,82,31,40,11,73,218,259,0,5,-0.51,0.05,5.82,158,189,53,247,21.46,60,276,78.26,7,10,8.7,8,2464,8.8,2641,0.902,4
Detroit Red Wings,DET,2018,30.2,82,30,39,13,73,212,254,5,1,-0.48,-0.01,5.68,162,191,41,234,17.52,58,259,77.61,9,5,8.9,8.3,2490,8.5,2613,0.903,4
Montreal Canadiens,MTL,2018,27.8,82,29,40,13,71,207,258,2,6,-0.68,0,5.67,148,184,52,244,21.31,68,263,74.14,7,6,8.6,8.8,2687,7.7,2650,0.903,4
Arizona Coyotes,ARI,2018,26.5,82,29,41,12,70,206,251,2,5,-0.53,0.05,5.57,163,195,41,243,16.87,46,224,79.46,2,10,7.8,8.3,2450,8.4,2642,0.905,5
Ottawa Senators,OTT,2018,29.3,82,28,43,11,67,219,284,2,7,-0.85,0,6.13,174,222,41,248,16.53,56,235,76.17,4,6,8.1,8.4,2515,8.7,2712,0.895,2
Buffalo Sabres,BUF,2018,27.1,82,25,45,12,62,198,278,1,2,-0.98,0.01,5.8,140,216,49,257,19.07,52,235,77.87,9,10,8.2,8.8,2557,7.7,2681,0.896,3
