Team,Tm,Season,AvAge,GP,W,L,OL,PTS,GF,GA,SOW,SOL,SRS,SOS,GoalsPerGame,EVGF,EVGA,PP,PPO,PPRate,PPA,PPOA,PKRate,SH,SHA,PIMperGame,OpposingPIMperGame,S,ShootingPercent,SA,SavePercentage,SO
Boston Bruins,BOS,2020,29.1,66,41,13,12,94,218,160,0,7,0.74,-0.04,5.73,159,122,54,212,25.47,33,205,83.9,5,5,9.2,9.9,2117,10.3,1988,0.92,7
St. Louis Blues,STL,2020,28.4,66,39,17,10,88,211,181,2,3,0.48,0.04,5.94,160,135,46,191,24.08,40,192,79.17,5,6,7.2,7.5,2034,10.4,1952,0.907,4
Colorado Avalanche,COL,2020,26.8,65,40,18,7,87,222,172,1,1,0.77,0,6.06,173,129,41,225,18.22,37,195,81.03,8,6,8.5,10.1,2116,10.5,2046,0.916,4
Tampa Bay Lightning,TBL,2020,27.7,65,41,19,5,87,228,183,2,0,0.73,0.01,6.32,178,137,46,198,23.23,39,213,81.69,4,7,9.8,9.3,2037,11.2,1996,0.908,3
Washington Capitals,WSH,2020,29,65,40,19,6,86,222,197,4,2,0.45,0.04,6.45,175,151,42,207,20.29,37,222,83.33,5,9,9.9,9.6,2082,10.7,1962,0.9,1
Philadelphia Flyers,PHI,2020,27.2,65,38,20,7,83,215,185,5,5,0.45,-0.01,6.15,161,142,46,213,21.6,37,197,81.22,8,6,7.6,9,2045,10.5,1853,0.9,3
Dallas Stars,DAL,2020,29.4,65,37,21,7,81,175,165,2,3,0.19,0.05,5.23,130,122,40,184,21.74,39,204,80.88,5,4,8.1,7.2,1967,8.9,2068,0.92,2
Vegas Golden Knights,VEG,2020,29.2,67,36,23,8,80,213,200,3,2,0.19,-0.02,6.16,164,150,40,186,21.51,47,208,77.4,9,3,8.3,7.6,2309,9.2,1985,0.899,5
Pittsburgh Penguins,PIT,2020,27.6,64,37,21,6,80,201,178,3,0,0.4,-0.01,5.92,157,143,38,187,20.32,32,175,81.71,6,3,7.5,8,2046,9.8,1909,0.907,4
Edmonton Oilers,EDM,2020,28,66,35,23,8,78,210,202,2,2,0.09,-0.03,6.24,150,163,57,192,29.69,29,186,84.41,3,10,8.3,7.9,1963,10.7,2081,0.903,2
Columbus Blue Jackets,CBJ,2020,26.1,67,32,21,14,78,175,175,0,4,-0.08,-0.02,5.22,141,139,31,183,16.94,31,164,81.1,3,5,6.7,6.8,2182,8,2004,0.913,7
New York Islanders,NYI,2020,28.8,64,35,21,8,78,178,173,3,2,0.12,0.03,5.48,145,139,27,154,17.53,32,166,80.72,6,2,8.5,7.6,1879,9.5,2005,0.914,3
Toronto Maple Leafs,TOR,2020,26.8,66,35,23,8,78,232,214,1,4,0.23,0,6.76,184,165,43,181,23.76,42,182,76.92,5,7,6.7,6.7,2172,10.7,2104,0.898,3
Carolina Hurricanes,CAR,2020,26.7,64,35,24,5,75,202,183,5,0,0.38,0,6.02,152,141,41,193,21.24,38,226,83.19,9,4,8.3,8.1,2132,9.5,1881,0.903,6
Calgary Flames,CGY,2020,27.6,67,34,26,7,75,195,205,6,1,-0.09,-0.01,5.97,150,162,39,187,20.86,34,191,82.2,6,9,9,8.7,2119,9.2,2183,0.906,4
New York Rangers,NYR,2020,26.3,65,35,26,4,74,216,201,1,2,0.17,-0.04,6.42,159,148,49,209,23.44,47,218,78.44,8,6,11.4,10.3,2016,10.7,2235,0.91,3
Vancouver Canucks,VAN,2020,27.5,65,34,25,6,74,211,201,3,3,0.11,-0.05,6.34,151,156,55,225,24.44,41,204,79.9,5,4,9.5,9.7,2029,10.4,2154,0.907,2
Florida Panthers,FLA,2020,28.2,66,33,26,7,73,221,220,3,4,0,0,6.68,173,176,44,203,21.67,39,177,77.97,4,5,7.2,8.6,2154,10.3,2138,0.897,2
Winnipeg Jets,WPG,2020,26.5,67,33,28,6,72,198,196,3,2,0.04,-0.01,5.88,154,154,39,198,19.7,39,168,76.79,5,3,7.6,8.9,2104,9.4,2184,0.91,5
Arizona Coyotes,ARI,2020,28.1,67,32,27,8,72,182,174,5,4,0.13,0,5.31,137,137,40,206,19.42,32,188,82.98,5,5,6.4,7.4,2108,8.6,2164,0.92,4
Nashville Predators,NSH,2020,29.1,65,32,25,8,72,204,209,3,3,-0.09,-0.01,6.35,164,150,34,211,16.11,51,198,74.24,6,8,9,9.6,2158,9.5,2020,0.897,5
Minnesota Wild,MIN,2020,29.4,65,32,26,7,71,204,203,2,3,0.04,0.04,6.26,157,153,44,202,21.78,45,190,76.32,3,5,8,8.5,1959,10.4,1974,0.897,6
