Player,PlayerId,Season,Age,Tm,GP,GS,W,L,OT_SO_L,GA,SA,SV,SavePercent,GAA,SO,GPS,MIN,QualityStarts,QualityStartPercent,BadStarts,GoalSavedAboveAvg
Marcus Hogberg,hogbema01,2019,24,OTT,4,4,0,2,1,14,121,107,0.884,4.09,0,0.3,206,1,0.25,1,
Braden Holtby,holtbbr01,2019,29,WSH,59,58,32,19,5,160,1795,1635,0.911,2.82,3,10.2,3407,33,0.569,9,1.79
Jimmy Howard,howarja02,2019,34,DET,55,52,23,22,5,156,1709,1553,0.909,3.07,0,9.3,3053,30,0.577,6,-1.96
Michael Hutchinson,hutchmi01,2019,28,TOT,9,8,3,4,2,27,239,212,0.887,3.27,1,0.8,496,2,0.25,2,
Michael Hutchinson,hutchmi01,2019,28,TOR,5,5,2,3,0,13,152,139,0.914,2.64,1,0.9,295,2,0.4,0,
Michael Hutchinson,hutchmi01,2019,28,FLA,4,3,1,1,2,14,87,73,0.839,4.17,0,-0.2,201,0,0,2,
Carter Hutton,huttoca01,2019,33,BUF,50,48,18,25,5,142,1541,1399,0.908,3,0,8.3,2840,25,0.521,5,-3.11
Tristan Jarry,jarrytr01,2019,23,PIT,2,2,0,1,1,7,62,55,0.887,3.5,0,0.2,120,1,0.5,1,
Chad Johnson,johnsch02,2019,32,TOT,19,11,2,11,0,49,406,357,0.879,3.63,1,0.9,811,3,0.273,3,-12.41
Chad Johnson,johnsch02,2019,32,STL,10,7,2,6,0,29,250,221,0.884,3.55,1,0.7,491,2,0.286,2,
Chad Johnson,johnsch02,2019,32,ANA,9,4,0,5,0,20,156,136,0.872,3.75,0,0.2,320,1,0.25,1,
Martin Jones,jonesma02,2019,29,SJS,62,62,36,19,5,176,1699,1523,0.896,2.94,3,7,3597,27,0.435,14,-22.87
Anton Khudobin,khudoan01,2019,32,DAL,41,37,16,17,5,95,1232,1137,0.923,2.57,2,8.6,2220,23,0.622,3,16.04
Keith Kinkaid,kinkake01,2019,29,NJD,41,38,15,18,6,129,1188,1059,0.891,3.36,3,4.3,2302,15,0.395,11,-21.92
Joonas Korpisalo,korpijo01,2019,24,CBJ,27,21,10,7,3,67,651,584,0.897,2.95,0,2.7,1361,8,0.381,4,-8.32
Mikko Koskinen,koskimi01,2019,30,EDM,55,51,25,21,6,146,1551,1405,0.906,2.93,4,8,2992,24,0.471,8,-6.21
Darcy Kuemper,kuempda01,2019,28,ARI,55,55,27,20,8,126,1676,1550,0.925,2.33,5,12,3251,36,0.655,6,25.06
Maxime Lagace,lagacma01,2019,26,VEG,1,1,0,1,0,4,31,27,0.871,4.03,0,0,60,0,0,0,
Robin Lehner,lehnero01,2019,27,NYI,46,43,25,13,5,93,1323,1230,0.93,2.13,6,10.2,2616,26,0.605,4,26.24
Charlie Lindgren,lindgch01,2019,25,MTL,1,1,1,0,0,5,49,44,0.898,4.62,0,0.2,65,0,0,0,
Henrik Lundqvist,lundqhe01,2019,36,NYR,52,52,18,23,10,158,1699,1541,0.907,3.07,0,9,3089,30,0.577,7,-4.87
Roberto Luongo,luongro01,2019,39,FLA,43,40,18,16,5,122,1205,1083,0.899,3.12,1,5.3,2347,20,0.5,7,-13.39
Alex Lyon,lyonal01,2019,26,PHI,2,1,0,1,0,6,31,25,0.806,5.08,0,-0.2,71,0,0,1,
Jacob Markstrom,marksja02,2019,29,VAN,60,60,28,23,9,166,1896,1730,0.912,2.77,1,11.1,3599,34,0.567,7,4.89
Curtis McElhinney,mcelhcu01,2019,35,CAR,33,33,20,11,2,85,968,883,0.912,2.58,2,5.6,1978,17,0.515,6,2.25
Mike McKenna,mckenmi01,2019,35,TOT,11,7,1,5,1,34,316,282,0.892,3.99,0,1.2,511,3,0.429,1,
Mike McKenna,mckenmi01,2019,35,OTT,10,6,1,4,1,30,292,262,0.897,3.96,0,1.2,454,3,0.5,0,
Mike McKenna,mckenmi01,2019,35,PHI,1,1,0,1,0,4,24,20,0.833,4.22,0,-0.1,57,0,0,1,
Ryan Miller,millery01,2019,38,ANA,20,17,8,7,2,51,578,527,0.912,2.76,1,3.3,1109,10,0.588,2,1.1
Hunter Miska,miskahu01,2019,23,ARI,1,0,0,0,0,1,9,8,0.889,3.28,0,0,18,0,,0,
Sam Montembeault,montesa01,2019,22,FLA,11,10,4,3,2,30,282,252,0.894,3.04,0,1.1,591,5,0.5,3,
Petr Mrazek,mrazepe01,2019,26,CAR,40,40,23,14,3,95,1104,1009,0.914,2.39,4,6.6,2387,23,0.575,4,4.51
Matt Murray,murrama02,2019,24,PIT,50,50,29,14,6,129,1594,1465,0.919,2.69,4,10.4,2880,29,0.58,10,14.67
Alex Nedeljkovic,nedelal01,2019,23,CAR,1,1,1,0,0,2,26,24,0.923,2,0,0.2,60,1,1,0,
Michal Neuvirth,neuvimi01,2019,30,PHI,7,6,1,4,1,26,184,158,0.859,4.27,0,0,366,1,0.167,4,
Antti Niemi,niemian02,2019,35,MTL,17,17,8,6,2,61,539,478,0.887,3.78,0,1.7,969,4,0.235,5,-12.42
Anders Nilsson,nilssan01,2019,28,TOT,36,34,14,19,1,101,1098,997,0.908,2.97,2,5.9,2040,14,0.412,6,-2.04
Anders Nilsson,nilssan01,2019,28,OTT,24,22,11,11,0,64,745,681,0.914,2.9,2,4.5,1322,10,0.455,4,3.15
Anders Nilsson,nilssan01,2019,28,VAN,12,12,3,8,1,37,353,316,0.895,3.09,0,1.4,718,4,0.333,2,-5.18
Eddie Pasquale,pasqued01,2019,28,TBL,3,3,2,1,0,12,102,90,0.882,3.96,0,0.3,182,1,0.333,1,
Calvin Petersen,peterca01,2019,24,LAK,11,10,5,4,1,27,355,328,0.924,2.61,1,2.5,622,6,0.6,1,5
Calvin Pickard,pickaca01,2019,26,TOT,17,12,4,6,2,48,384,336,0.875,3.86,1,0.7,747,4,0.333,4,-13.39
Calvin Pickard,pickaca01,2019,26,PHI,11,8,4,2,2,31,227,196,0.863,4.01,1,0.1,464,2,0.25,4,
Calvin Pickard,pickaca01,2019,26,ARI,6,4,0,4,0,17,157,140,0.892,3.61,0,0.6,283,2,0.5,0,
Carey Price,priceca01,2019,31,MTL,66,64,35,24,6,161,1952,1791,0.918,2.49,4,12.5,3880,37,0.578,6,14.94
Jonathan Quick,quickjo01,2019,33,LAK,46,46,16,23,7,149,1329,1180,0.888,3.38,2,4.3,2648,19,0.413,11,-29.21
Antti Raanta,raantan01,2019,29,ARI,12,12,5,6,0,33,351,318,0.906,2.88,0,1.8,687,6,0.5,1,-1.36
Tuukka Rask,rasktu01,2019,31,BOS,46,45,27,13,5,109,1245,1136,0.912,2.48,4,7.3,2635,24,0.533,5,3.21
James Reimer,reimeja01,2019,30,FLA,36,29,13,12,5,93,929,836,0.9,3.09,0,4.2,1805,10,0.345,6,-9.27
Pekka Rinne,rinnepe01,2019,36,NSH,56,55,30,19,4,130,1581,1451,0.918,2.42,4,10.1,3220,30,0.545,7,12.5
David Rittich,rittida01,2019,26,CGY,45,42,27,9,5,109,1228,1119,0.911,2.61,1,7,2503,26,0.619,8,1.68
Juuse Saros,sarosju01,2019,23,NSH,31,27,17,10,2,74,870,796,0.915,2.62,3,5.3,1696,14,0.519,6,4.41
