Name,Team,Age,G,PA,AB,R,BB,SO,BB/K,OPS,BABIP,OutZoneSwing,InZoneSwing,OutZoneContact,InZoneContact,playerid
Johan Camargo,Braves,25,98,248,232,31,15,43,0.35,0.663,0.258,0.41,0.75,0.65,0.87,14950
Taylor Ward,Angels,25,20,48,42,4,6,23,0.26,0.625,0.389,0.25,0.60,0.36,0.74,17548
Joey Wendle,Rays,29,75,263,238,32,14,47,0.3,0.633,0.272,0.38,0.60,0.71,0.91,13853
Daniel Robertson,Rays,25,74,237,207,23,24,59,0.41,0.607,0.288,0.28,0.68,0.62,0.89,14145
Isiah Kiner-Falefa,Rangers,24,65,222,202,23,14,49,0.29,0.62,0.307,0.31,0.59,0.67,0.92,16512
Dawel Lugo,Tigers,24,77,288,273,28,8,59,0.14,0.652,0.288,0.47,0.66,0.75,0.87,14713
Brandon Drury,Blue Jays,26,120,447,418,43,25,113,0.22,0.642,0.259,0.36,0.63,0.62,0.85,11615
Erik Gonzalez,Pirates,27,53,156,142,15,9,37,0.24,0.618,0.333,0.37,0.80,0.50,0.87,13369
Jace Peterson,Orioles,29,29,108,100,14,6,24,0.25,0.599,0.267,0.30,0.69,0.53,0.84,12325
Jung Ho Kang,Pirates,32,65,185,172,15,11,60,0.18,0.617,0.184,0.35,0.67,0.52,0.78,17182
Yu-Cheng Chang,Indians,23,28,84,73,8,11,22,0.5,0.56,0.24,0.30,0.72,0.54,0.90,14773
Travis Shaw,Brewers,29,86,270,230,22,36,89,0.4,0.551,0.216,0.28,0.69,0.61,0.77,11982
Martin Prado,Marlins,35,104,260,245,26,12,41,0.29,0.559,0.268,0.31,0.60,0.74,0.96,3312
Jedd Gyorko,- - -,30,62,101,92,6,9,24,0.38,0.498,0.212,0.35,0.67,0.61,0.87,10816
Yadiel Rivera,Marlins,27,34,66,60,8,6,20,0.3,0.474,0.275,0.40,0.78,0.47,0.77,11863
Zach Green,Giants,25,8,16,14,1,2,6,0.33,0.464,0.25,0.28,0.70,0.42,0.56,14973
Jake Noll,Nationals,25,8,13,12,1,1,4,0.25,0.481,0.25,0.48,0.72,0.54,0.92,19703
Jake Elmore,Pirates,32,20,49,47,3,2,8,0.25,0.479,0.256,0.32,0.65,0.74,0.88,7290
Adrian Sanchez,Nationals,28,28,32,31,3,1,10,0.1,0.476,0.333,0.31,0.69,0.48,0.86,11338
Kaleb Cowart,Angels,27,9,26,25,1,1,7,0.14,0.472,0.222,0.34,0.77,0.58,0.83,11494
Patrick Wisdom,Rangers,27,9,28,26,1,1,15,0.07,0.377,0.364,0.38,0.67,0.46,0.90,13602
Ryan Flaherty,Indians,32,14,22,21,4,0,7,0,0.381,0.214,0.39,0.60,0.64,0.86,7888
Zack Cozart,Angels,33,38,107,97,4,5,16,0.31,0.322,0.143,0.22,0.63,0.60,0.93,2616
Andrew Velazquez,- - -,24,15,24,23,3,1,13,0.08,0.299,0.2,0.29,0.76,0.47,0.69,14196
Miguel Andujar,Yankees,24,12,49,47,1,1,11,0.09,0.271,0.162,0.45,0.67,0.59,0.79,15878
Ruben Tejada,Mets,29,6,9,9,1,0,3,0,0,0,0.18,0.79,0.33,0.91,5519
Deven Marrero,Marlins,28,5,5,5,0,0,3,0,0,0,0.40,0.71,0.50,0.40,13325
