Name,Team,Age,G,PA,AB,R,BB,SO,BB/K,OPS,BABIP,OutZoneSwing,InZoneContact,HBP,H,1B,2B,3B,HR,SF,CS,GDP,SH,playerid
Adrian Sanchez,Nationals,28,28,32,31,3,1,10,0.1,0.476,0.333,28.80%,86.10%,0,7,7,0,0,0,0,0,0,0,11338
Josh Harrison,Tigers,31,36,147,137,10,6,27,0.22,0.48,0.207,40.30%,80.30%,2,24,15,7,1,1,2,2,0,0,8202
Kaleb Cowart,Angels,27,9,26,25,1,1,7,0.14,0.472,0.222,37.00%,83.30%,0,4,1,3,0,0,0,0,2,0,11494
Chris Owings,- - -,27,67,196,180,13,14,78,0.18,0.443,0.222,31.30%,80.50%,2,25,15,6,1,3,0,2,2,0,10030
Corban Joseph,- - -,30,28,68,64,5,3,12,0.25,0.441,0.173,26.70%,96.20%,0,10,6,3,0,1,1,0,2,0,5503
Max Moroff,Indians,26,20,35,32,3,2,16,0.13,0.426,0.2,36.50%,76.90%,0,4,2,1,0,1,0,0,0,1,14556
Alen Hanson,Blue Jays,26,18,48,43,5,3,17,0.18,0.392,0.259,38.40%,85.30%,1,7,7,0,0,0,1,0,0,0,12926
Franklin Barreto,Athletics,23,23,58,57,6,1,23,0.04,0.401,0.156,37.10%,73.60%,0,7,3,2,0,2,0,0,0,0,15519
Kean Wong,- - -,24,7,18,18,2,0,6,0,0.333,0.25,27.30%,80.00%,0,3,3,0,0,0,0,1,0,0,15994
Andrew Velazquez,- - -,24,15,24,23,3,1,13,0.08,0.299,0.2,37.50%,68.90%,0,2,0,2,0,0,0,0,0,0,14196
Dustin Pedroia,Red Sox,35,6,21,20,1,1,2,0.5,0.243,0.111,13.80%,90.00%,0,2,2,0,0,0,0,0,2,0,8370
Ruben Tejada,Mets,29,6,9,9,1,0,3,0,0,0,23.10%,90.90%,0,0,0,0,0,0,0,0,0,0,5519
Sam Haggerty,Mets,25,11,4,4,2,0,3,0,0,0,12.50%,62.50%,0,0,0,0,0,0,0,0,0,0,18054
